Intake24 code,Action,English Description,Local description,Local description/Malay,Local description/Mandarin,Local description/Tamil,Food composition table,Food composition record ID,Ready Meal Option,Same As Before Option,Reasonable Amount,Use In Recipes,Associated Food / Category,Brand Names,Associated Food / Category (Malay),Associated Food / Category (Tamil),Portion size estimation methods,Categories,,,,,,,
STFR,4,Stir fried mixed vegetables,Stir fried mixed vegetables,Sayur-sayuran campur goreng, 炒杂菜 ,வறுத்த கலவை காய்கறிகள் ,Singapore HPB,SIN00003232,TRUE,Inherited,Inherited,Inherited,CARB({en: Did you have pasta / rice / noodles / couscous with your Stir fried mixed vegetables?}),,CARB({ms: Adakah anda mengambil pasta / nasi / mee bersama Sayur-sayuran campur goreng?}),"CARB({ta: வறுத்த கலவை காய்கறிகள் உடன் சேர்த்து பாஸ்தா / சோறு / நூடுல்ஸ் / கூஸ்கஸ் சாப்பிட்டீர்களா?}),","Method: as-served, conversion: 1.0, serving-image-set: NDNS_stirfry_veg, leftovers-image-set: NDNS_stirfry_veg_leftovers
Method: as-served, conversion: 1.0, serving-image-set: MY_chinese_e92w55",SLW1,SW05,VGDI,VTGB,,,,
STFS,1,Stir fry sauce,Stir fry sauce,,,,AUSNUT,10A10476,FALSE,Inherited,Inherited,Inherited,,,,,"Method: standard-portion, conversion: 1.0, units-count: 2, unit0-name: tablespoons, unit0-weight: 20.8, unit0-omit-food-description: false, unit1-name: cups, unit1-weight: 260, unit1-omit-food-description: false",SAUC,,,,,,,
STIL,2,Stilton cheese,Stilton cheese,Keju Stilton,Stilton 芝士,ஸ்டில்டன் சீஸ்,AUSNUT,09B10176,Inherited,Inherited,Inherited,Inherited,,,,,"Method: as-served, conversion: 1.0, serving-image-set: chec, leftovers-image-set: chec_leftovers
Method: as-served, conversion: 1.0, serving-image-set: chesl, leftovers-image-set: chesl_leftovers
Method: guide-image, conversion: 1.0, guide-image-id: AUSchse",CHES,CHSE,HRDC,SLW1,,,,
STKK,1,Steak and kidney pie (includes homemade),Steak and kidney pie (includes homemade),,,,AUSNUT,02E60351,FALSE,Inherited,Inherited,Inherited,COND,,,,"Method: guide-image, conversion: 1.0, guide-image-id: gpie
Method: as-served, conversion: 1.0, serving-image-set: large_meat_pie
Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: individual_pies, unit0-weight: 200, unit0-omit-food-description: false",MEAT,MTPS,,,,,,
STKW,1,"Stock, any flavour, made up with water","Stock, any flavour, made up with water",,,,AUSNUT,10F60113,Inherited,Inherited,Inherited,Inherited,,,,,"Method: standard-portion, conversion: 1.0, units-count: 2, unit0-name: tablespoons, unit0-weight: 20.4, unit0-omit-food-description: false, unit1-name: cups, unit1-weight: 255, unit1-omit-food-description: false",COND,CUBE,SLW2,SW06,,,,
STLI,2,"Strong liqueur e.g. Pernod, Drambuie, Cointreau, Grand Marnier","Strong liqueur e.g. Pernod, Drambuie, Cointreau, Grand Marnier","Minuman keras kuat e.g. Pernod, Drambuie, Cointreau, Grand Marnier",强烈的利口酒（例如Pernod、Drambuie、Cointreau、Grand Marnier）,"வலுவான மதுபானம் எ.கா. Pernod, Drambuie, Cointreau, Grand Marnier",AUSNUT,01A30166,Inherited,TRUE,Inherited,Inherited,"DRNK({en: Did you have drinks with your Strong liqueur e.g. Pernod, Drambuie, Cointreau, Grand Marnier?})",,"DRNK({ms: Adakah anda mengambil campuran bersama Minuman keras kuat e.g. Pernod, Drambuie, Cointreau, Grand Marnier?})","DRNK({ta: வலுவான மதுபானம் எ.கா. Pernod, Drambuie, Cointreau, Grand Marnier  உடன் சேர்த்து பானங்கள் குடித்தீர்களா?})","Method: drink-scale, conversion: 1.0, drinkware-id: glasses_spirits, initial-fill-level: 0.9, skip-fill-level: false
Method: standard-portion, conversion: 1.0, units-count: 2, unit0-name: single_measures, unit0-weight: 28.8, unit0-omit-food-description: false, unit1-name: double_measures, unit1-weight: 57.6, unit1-omit-food-description: false",ALCL,DRNK,SPLI,,,,,
STMO,2,Strawberry mousse,Strawberry mousse,Mousse strawberi," 草莓慕斯, mousse",ஸ்ட்ராபெரி மியூஸ்,AUSNUT,09C10136,Inherited,Inherited,Inherited,Inherited,,,,,"Method: guide-image, conversion: 1.0, guide-image-id: AUSdes
Method: as-served, conversion: 1.0, serving-image-set: ice_cream, leftovers-image-set: ice_cream_leftovers",MOUS,YGRT,,,,,,
STNC,2,Stout e.g. Guinness,Stout e.g. Guinness,Stout e.g. Guinness,黑啤酒（例如Guinness,ஸ்டவுட் எ.கா Guinness,AUSNUT,01A10084,Inherited,TRUE,Inherited,Inherited,,,,,"Method: guide-image, conversion: 1.0, guide-image-id: AUSalccans
Method: guide-image, conversion: 1.0, guide-image-id: AUSbeerbot
Method: drink-scale, conversion: 1.0, drinkware-id: glasses_beer, initial-fill-level: 0.9, skip-fill-level: false",ALCL,BEER,DRNK,,,,,
STON,2,Diet tonic water,Diet tonic water,Tonic water diet,无糖 diet 汤力水,டயட் டானிக் தண்ணீர்,AUSNUT,01B20398,Inherited,TRUE,Inherited,Inherited,,,,,"Method: drink-scale, conversion: 1.0, drinkware-id: glasses_soft, initial-fill-level: 0.9, skip-fill-level: false
Method: guide-image, conversion: 1.0, guide-image-id: AUScandrink
Method: guide-image, conversion: 1.0, guide-image-id: AUSFantaSolo",DRNK,SOFT,,,,,,
STRL,1,Tomato relish,Tomato relish,,,,AUSNUT,10B10068,Inherited,Inherited,Inherited,Inherited,,,,,"Method: as-served, conversion: 1.03, serving-image-set: sauce_dollop, leftovers-image-set: sauce_dollop_leftovers
Method: guide-image, conversion: 1.25, guide-image-id: AUSspoons
Method: standard-portion, conversion: 1.0, units-count: 2, unit0-name: teaspoons, unit0-weight: 6.25, unit0-omit-food-description: false, unit1-name: tablespoons, unit1-weight: 25, unit1-omit-food-description: false",COND,PCKL,RLSH,SLW2,,,,
STSA,2,"Sweet sauce, non chocolate-based","Sweet sauce, non chocolate-based","Sos manis, bukan berasaskan coklat",非巧克力甜酱  ,"இனிப்பு சாஸ், சாக்லேட் அல்லாதது",AUSNUT,12B10078,Inherited,Inherited,Inherited,Inherited,,,,,"Method: guide-image, conversion: 1.44, guide-image-id: AUSspoons",CHOI,ICEL,,,,,,
STSP,1,Sponge pudding,Sponge pudding,,,,AUSNUT,02E10483,Inherited,Inherited,Inherited,Inherited,"CREM, ICEC, CSTD",,,,"Method: as-served, conversion: 1.0, serving-image-set: sponge_pudding, leftovers-image-set: sponge_pudding_leftovers",DESS,SSPD,,,,,,
STTP,2,Sticky date pudding,Sticky date pudding,Puding kurma melekit, 粘性枣子布丁 ,ஸ்டிக்கி பேரிச்சை புட்டிங்,AUSNUT,02E50311,Inherited,Inherited,Inherited,Inherited,"CREM({en: Did you have cream with your Sticky date pudding?}),
ICEC({en: Did you have Ice cream with your Sticky date pudding?}),
CSTD({en: Did you have custard with your Sticky date pudding?})",,"CREM({ms: Adakah anda mengambil krim bersama Puding tarikh melekit?}),
CSTD({ms: Adakah anda mengambil kastad bersama Puding tarikh melekit?}),
ICEC({ms: Adakah anda mengambil aiskrim bersama Puding tarikh melekit?})","CREM({ta: ஸ்டிக்கி பேரிச்சை புட்டிங்  உடன் சேர்த்து  கிரீம் சாப்பிட்டீர்களா?}),
ICEC({ta: ஸ்டிக்கி பேரிச்சை புட்டிங் உடன் சேர்த்து ஐஸ்கிரீம் சாப்பிட்டீர்களா?}),
CSTD({ta: ஸ்டிக்கி பேரிச்சை புட்டிங் உடன் சேர்த்து கஸ்டர்ட் சாப்பிட்டீர்களா?})","Method: as-served, conversion: 1.0, serving-image-set: sponge_pudding, leftovers-image-set: sponge_pudding_leftovers",DESS,SSPD,,,,,,
STUF,1,Stuffing,Stuffing,,,,AUSNUT,02F40236,TRUE,Inherited,Inherited,Anywhere,,,,,"Method: guide-image, conversion: 0.63, guide-image-id: AUSspoons
Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: tablespoons, unit0-weight: 12.6, unit0-omit-food-description: false",BRDS,BRED,,,,,,
STVL,1,Stuffed vine leaves,Stuffed vine leaves ,,,,AUSNUT,13B10270,FALSE,Inherited,Inherited,Inherited,,,,,"Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: vine_leaves, unit0-weight: 30, unit0-omit-food-description: true",SLW1,SW05,VGDI,VTGB,,,,
STYS,3,Satay sauce,Satay sauce,Sos satay, 沙爹酱 ,சாத்தே சாஸ்,MyFCDCombined,236004,Inherited,Inherited,Inherited,Inherited,,,,,"Method: standard-portion, conversion: 1.0, units-count: 2, unit0-name: teaspoons, unit0-weight: 5.8, unit0-omit-food-description: false, unit1-name: tablespoons, unit1-weight: 23.2, unit1-omit-food-description: false
Method: guide-image, conversion: 1.0, guide-image-id: MY_LadleGuide
Method: guide-image, conversion: 1.44, guide-image-id: AUSspoons",COND,SLW2,SW06,,,,,
SULB,2,Wheat flakes with sultanas / raisins e.g. Sultan Bran,Wheat flakes with sultanas / raisins e.g. Sultan Bran,Bijirin gandum dengan sultana / kismis e.g. Sultan Bran,含葡萄干的小麦片（例如Sultan Bran）,கோதுமை அவல்/ உலர்ந்த திராட்சைகள் எ.கா Sultan Bran,AUSNUT,02D10391,Inherited,Inherited,Inherited,Inherited,MCRL({en: Did you have Milk on cereal with your Wheat flakes with sultanas / raisins e.g. Sultan Bran?}),,MCRL ({ms: Adakah anda mengambil susu bersama Bijirin gandum dengan sultana / kismis e.g. Sultan Bran?}),"MCRL({ta: கோதுமை அவல்/ உலர்ந்த திராட்சைகள் எ.கா Sultan Bran உடன் சேர்த்து பால் சாப்பிட்டீர்களா?})
","Method: cereal, conversion: 1.0, type: flake",CRLS,FCRL,,,,,,
SULT,2,Sultanas,Sultanas,Sultana, 葡萄干 ,உலர்ந்த திராட்சைகள்,AUSNUT,06D10519,Inherited,Inherited,Inherited,Inherited,,,,,"Method: as-served, conversion: 1.0, serving-image-set: raisins, leftovers-image-set: raisins_leftovers
Method: standard-portion, conversion: 1.0, units-count: 2, unit0-name: tablespoons, unit0-weight: 16, unit0-omit-food-description: false, unit1-name: cups, unit1-weight: 200, unit1-omit-food-description: false",DRIF,FRTS,SLW1,SW05,,,,
SUME,2,"Sushi, beef based, with seaweed","Sushi, beef based, with seaweed","Sushi, berasaskan daging lembu, dengan alga laut", 牛肉寿司，配海苔 ,"சுஷி, மாட்டிறைச்சி அடிப்படையிலான, கடற்பாசி",AUSNUT,02F40433,FALSE,Inherited,Inherited,Inherited,"COND({en: Did you have sauces / condiments / gravy / stock with your Sushi, beef based, with seaweed?})",,"COND({ms: Adakah anda mengambil sos / kuah bersama Sushi, berasaskan daging lembu, dengan alga laut?})","COND({ta: சுஷி, மாட்டிறைச்சி அடிப்படையிலான, கடற்பாசி உடன் சேர்த்து சாஸ்கள் / மசாலாப் பொருட்கள் / குழம்பு சாப்பிட்டீர்களா?})","Method: standard-portion, conversion: 1.0, units-count: 2, unit0-name: rolls, unit0-weight: 104, unit0-omit-food-description: false, unit1-name: pieces, unit1-weight: 33, unit1-omit-food-description: false",FISH,SUSH,,,,,,
SUMM,1,Summer pudding,Summer pudding,,,,AUSNUT,02E10650,FALSE,Inherited,Inherited,Inherited,"CREM, ICEC, CSTD",,,,"Method: as-served, conversion: 1.0, serving-image-set: sponge_pudding, leftovers-image-set: sponge_pudding_leftovers",DESS,SSPD,,,,,,
SUSE,2,Sunflower seeds,Sunflower seeds,Biji bunga matahari, 向日葵种子 ,சூரியகாந்தி விதைகள்,AUSNUT,11A10034,Inherited,Inherited,Inherited,Inherited,,,,,"Method: standard-portion, conversion: 1.0, units-count: 2, unit0-name: tablespoons, unit0-weight: 4, unit0-omit-food-description: false, unit1-name: handfuls, unit1-weight: 25, unit1-omit-food-description: false",CRPS,NUTS,SLW1,SW05,,,,
SUSS,4,"Sushi, salmon based","Sushi, salmon based","Sushi, berasaskan salmon", 三文鱼寿司 ,"சுஷி, சால்மன் அடிப்படையிலானது",Singapore HPB,SIN00003292,Inherited,Inherited,Inherited,Inherited,"COND({en: Did you have sauces / condiments / gravy / stock with your Sushi, salmon based?})",,"COND({ms: Adakah anda mengambil sos / kuah bersama Sushi, berasaskan salmon?})","COND({ta: சுஷி, சால்மன் அடிப்படையிலானது உடன் சேர்த்து சாஸ்கள் / மசாலாப் பொருட்கள் / குழம்பு சாப்பிட்டீர்களா?})","Method: standard-portion, conversion: 1.0, units-count: 2, unit0-name: rolls, unit0-weight: 104, unit0-omit-food-description: false, unit1-name: pieces, unit1-weight: 33, unit1-omit-food-description: false",FISH,SUSH,,,,,,
SUST,4,"Sushi, tuna based","Sushi, tuna based","Sushi, berasaskan tuna", 金枪鱼寿司 ,"சுஷி, டுனா அடிப்படையிலானது",Singapore HPB,SIN00003288,FALSE,Inherited,Inherited,Inherited,"COND({en: Did you have sauces / condiments / gravy / stock with your Sushi, tuna based?})",,"COND({ms: Adakah anda mengambil sos / kuah bersama Sushi, berasaskan tuna?})","COND({ta: சுஷி, டுனா அடிப்படையிலானது  உடன் சேர்த்து சாஸ்கள் / மசாலாப் பொருட்கள் / குழம்பு சாப்பிட்டீர்களா?})","Method: standard-portion, conversion: 1.0, units-count: 2, unit0-name: rolls, unit0-weight: 104, unit0-omit-food-description: false, unit1-name: pieces, unit1-weight: 33, unit1-omit-food-description: false",FISH,SUSH,,,,,,
SVFR,2,"Savoury fritters (e.g. zucchini, corn)","Savoury fritters (e.g. zucchini, corn)","Fritters savoury (e.g. zucchini, jagung)","咸味煎饼, fritters（例如，西葫芦，玉米","பல்சுவை பஜ்ஜி (எ.கா. சுரைக்காய், சோளம்)",AUSNUT,13B10298,Inherited,Inherited,Inherited,Inherited,"COND({en: Did you have sauces / condiments / gravy / stock with your Savoury fritters (e.g. zucchini, corn)?})",,"COND({ms: Adakah anda mengambil sos / kuah bersama Fritters savoury (e.g. zucchini, jagung)?})","COND({ta:பல்சுவை பஜ்ஜி (எ.கா. சுரைக்காய், சோளம்) உடன் சேர்த்து சாஸ்கள் / மசாலாப் பொருட்கள் / குழம்பு சாப்பிட்டீர்களா?})

","Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: fritters, unit0-weight: 63, unit0-omit-food-description: true",BRED,CRUM,,,,,,
SVRC,1,Savoury rice,Savoury rice,,,,AUSNUT,02F40255,TRUE,Inherited,Inherited,Inherited,,,,,"Method: as-served, conversion: 1.0, serving-image-set: rice, leftovers-image-set: rice_leftovers",CARB,RICE,,,,,,
SWDB,1,"Swede, boiled / steamed / microwaved","Swede, boiled / steamed / microwaved",,,,AUSNUT,13A11833,Inherited,Inherited,Inherited,Inherited,,,,,"Method: as-served, conversion: 1.0, serving-image-set: pumpkin
Method: standard-portion, conversion: 1.0, units-count: 2, unit0-name: tablespoons, unit0-weight: 12, unit0-omit-food-description: false, unit1-name: cups, unit1-weight: 150, unit1-omit-food-description: false",SLW1,SW05,TRNP,VTGB,,,,
SWDM,1,"Swede, mashed","Swede, mashed",,,,AUSNUT,13A11833,FALSE,Inherited,Inherited,Inherited,,,,,"Method: as-served, conversion: 1.0, serving-image-set: potatoes_mashed, leftovers-image-set: potatoes_mashed_leftovers
Method: standard-portion, conversion: 1.0, units-count: 2, unit0-name: tablespoons, unit0-weight: 12, unit0-omit-food-description: false, unit1-name: cups, unit1-weight: 150, unit1-omit-food-description: false",SLW1,SW05,TRNP,VTGB,,,,
SWEE,2,"Sweetener, in tablets","Sweetener, in tablets","Pemanis, dalam tablet", 甜味剂，片剂 ,"இனிப்பு, மாத்திரைகளில்",AUSNUT,14A10046,Inherited,Inherited,Inherited,Inherited,,,,,"Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: tablets, unit0-weight: 0.09, unit0-omit-food-description: false",SUGA,SUGR,,,,,,
SWEP,1,"Sweetener, granulated","Sweetener, granulated",,,,AUSNUT,14A10045,Inherited,Inherited,Inherited,Inherited,,,,,"Method: standard-portion, conversion: 1.0, units-count: 2, unit0-name: teaspoons, unit0-weight: 0.5, unit0-omit-food-description: false, unit1-name: sachets, unit1-weight: 1, unit1-omit-food-description: false",SUGA,SUGR,,,,,,
SWIS,2,Swiss roll,Swiss roll,Swiss roll, 瑞士卷 ,சுவிஸ் ரோல்,AUSNUT,02E10621,Inherited,Inherited,Inherited,Inherited,,,,,"Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: slices, unit0-weight: 30, unit0-omit-food-description: false",CAKE,SPNG,SPON,,,,,
SWOR,1,"Swordfish (no batter/breadcrumbs), grilled / baked / roasted / fried","Swordfish (no batter/breadcrumbs), grilled / baked / roasted / fried",,,,AUSNUT,05A10842,FALSE,Inherited,Inherited,Inherited,,,,,"Method: as-served, conversion: 1.0, serving-image-set: salmon_steak
Method: standard-portion, conversion: 1.0, units-count: 3, unit0-name: small_fillets, unit0-weight: 61, unit0-omit-food-description: true, unit1-name: medium_fillets, unit1-weight: 110, unit1-omit-food-description: true, unit2-name: large_fillets, unit2-weight: 124, unit2-omit-food-description: true",FFLT,FISH,SLW1,SW03,,,,
SWPB,2,"Sweet potato (all colours), boiled / steamed / microwaved","Sweet potato (all colours), boiled / steamed / microwaved","Kentang manis (semua warna), direbus / dikukus / dimasak dalam ketuhar gelombang mikro", 甜薯（所有颜色），煮/蒸/微波 ,"சர்க்கரை வள்ளி கிழங்கு (அனைத்து நிறங்களும்), கொதிக்கவைத்தது / நீராவி வைத்தது / மைக்ரோவேவ் செய்தது",AUSNUT,13A11834,TRUE,Inherited,Inherited,Inherited,,,,,"Method: as-served, conversion: 1.0, serving-image-set: potatoes_boiled, leftovers-image-set: potatoes_boiled_leftovers",BOLP,POTS,SLW1,SW05,,,,
SWPF,2,Sweet potato fries,Sweet potato fries,Kentang manis fries, 甜薯条 ,சர்க்கரை வள்ளி கிழங்கு பொரியல்,AUSNUT,13A12571,Inherited,Inherited,Inherited,Inherited,COND({en: Did you have sauces / condiments / gravy / stock with your Sweet potato fries?}),,COND({ms: Adakah anda mengambil sos / kuah bersama Kentang manis fries?}),COND({ta: சர்க்கரை வள்ளி கிழங்கு பொரியல் உடன் சேர்த்து சாஸ்கள் / மசாலாப் பொருட்கள் / குழம்பு சாப்பிட்டீர்களா?}),"Method: as-served, conversion: 1.0, serving-image-set: chips_straight, leftovers-image-set: chips_straight_leftovers
Method: as-served, conversion: 1.0, serving-image-set: chips_thick, leftovers-image-set: chips_thick_leftovers",CHIP,POTS,SLW1,SW05,,,,
SWPS,1,Sweet potato soup (includes homemade),Sweet potato soup (includes homemade),,,,AUSNUT,10C10507,TRUE,Inherited,Inherited,Inherited,"BRED, CARB",,,,"Method: as-served, conversion: 1.05, serving-image-set: soup, leftovers-image-set: soup_leftovers
Method: guide-image, conversion: 1.0, guide-image-id: AUSallcans",SOUP,VGSP,,,,,,
SWRC,2,Mini sweet biscuits e.g. Tiny Teddys,Mini sweet biscuits e.g. Tiny Teddys,Biskut manis mini e.g. Tiny Teddys,迷你甜饼干（例如Tiny Teddys,மினி இனிப்பு பிஸ்கட் எ.கா. Tiny Teddys,AUSNUT,02C20284,Inherited,Inherited,Inherited,Inherited,,,,,"Method: standard-portion, conversion: 1.0, units-count: 2, unit0-name: biscuits, unit0-weight: 2, unit0-omit-food-description: true, unit1-name: individual_packs, unit1-weight: 25, unit1-omit-food-description: false",BSCT,OTBS,SWBC,,,,,
SWSP,4,Sweet and sour pork,Sweet and sour pork,Daging babi manis dan masam, 甜酸猪肉 ,இனிப்பு மற்றும் புளிப்பான பன்றி இறைச்சி,AUSNUT,08F10889,TRUE,Inherited,Inherited,Inherited,,,,,"Method: as-served, conversion: 1.0, serving-image-set: NDNS_chinese_chicken, leftovers-image-set: NDNS_chinese_chicken_leftovers
Method: as-served, conversion: 1.0, serving-image-set: MY_sweet_and_fg07m1",MDSH,MEAT,PDSH,,,,,
SWSS,2,White sauce,White sauce,Sos putih, 白色酱汁 ,வெள்ளை சாஸ்,AUSNUT,10A10522,Inherited,Inherited,Inherited,Inherited,,,,,"Method: as-served, conversion: 1.01, serving-image-set: white_sauce, leftovers-image-set: white_sauce_leftovers
Method: standard-portion, conversion: 1.0, units-count: 2, unit0-name: tablespoons, unit0-weight: 21.2, unit0-omit-food-description: false, unit1-name: cups, unit1-weight: 265, unit1-omit-food-description: false",COND,SAUC,SLW2,SW06,,,,
SWWN,2,Sparkling white wine,Sparkling white wine,Wain putih berkilau, 气泡白葡萄酒 ,ஸ்பார்க்லிங் வெள்ளை ஒயின்,AUSNUT,01A20114,Inherited,TRUE,Inherited,Inherited,,,,,"Method: guide-image, conversion: 1.0, guide-image-id: AUSwine
Method: drink-scale, conversion: 1.0, drinkware-id: glasses_wine, initial-fill-level: 0.9, skip-fill-level: false",ALCL,DRNK,WINE,,,,,
SYRP,1,Golden syrup pudding,Golden syrup pudding,,,,AUSNUT,02E10489,Inherited,Inherited,Inherited,Inherited,"CREM, ICEC, CSTD",,,,"Method: as-served, conversion: 1.0, serving-image-set: sponge_pudding, leftovers-image-set: sponge_pudding_leftovers",DESS,SSPD,,,,,,
TABA,2,Tabasco,Tabasco,Tabasco,塔巴斯科 tabasco 辣椒酱 ,தபாஸ்கோ,AUSNUT,10A10439,TRUE,Inherited,Inherited,Inherited,,,,,"Method: guide-image, conversion: 0.98, guide-image-id: AUSspoons
Method: standard-portion, conversion: 1.0, units-count: 2, unit0-name: teaspoons, unit0-weight: 4.9, unit0-omit-food-description: false, unit1-name: tablespoons, unit1-weight: 19.6, unit1-omit-food-description: false",CHIS,COND,SLW2,SW06,,,,
TABB,2,Tabouleh / Tabbouleh / Tabouli,Tabouleh / Tabbouleh / Tabouli,Tabouleh / Tabbouleh / Tabouli,塔布勒 tabouleh 沙拉,டபுலே/டபுலி,AUSNUT,13B10263,FALSE,Inherited,Inherited,Inherited,,,,,"Method: as-served, conversion: 1.0, serving-image-set: NDNS_couscous, leftovers-image-set: NDNS_couscous_leftovers
Method: standard-portion, conversion: 1.0, units-count: 5, unit0-name: tablespoons, unit0-weight: 13.6, unit0-omit-food-description: false, unit1-name: cups, unit1-weight: 170, unit1-omit-food-description: false, unit2-name: small_tubs, unit2-weight: 250, unit2-omit-food-description: false, unit3-name: medium_tubs, unit3-weight: 400, unit3-omit-food-description: false, unit4-name: large_tubs, unit4-weight: 800, unit4-omit-food-description: false",C000,SLW1,SW05,VTGB,,,,
TABL,1,Tablet (fudge),Tablet (fudge),,,,AUSNUT,12C10547,Inherited,Inherited,Inherited,Inherited,,,,,"Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: squares, unit0-weight: 20, unit0-omit-food-description: false",CONF,TFFS,,,,,,
TACC,2,"Takeaway chips, chip shop style","Takeaway chips, chip shop style","Kentang goreng takeaway, gaya kedai chip",外卖炸薯条，炸鱼薯条店风格,"டேக்அவே சிப்ஸ், சிப்ஸ் கடை பாணியில்",AUSNUT,13A12019,Inherited,Inherited,Inherited,Inherited,"COND({en: Did you have sauces / condiments / gravy / stock with your Takeaway chips, chip shop style?})",,"COND({ms: Adakah anda mengambil sos / kuah bersama Kentang goreng takeaway, gaya kedai chip?})","COND({ta: டேக்அவே சிப்ஸ், சிப்ஸ் கடை பாணியில்  உடன் சேர்த்து சாஸ்கள் / மசாலாப் பொருட்கள் / குழம்பு சாப்பிட்டீர்களா?})","Method: as-served, conversion: 1.0, serving-image-set: chips_straight, leftovers-image-set: chips_straight_leftovers
Method: as-served, conversion: 1.0, serving-image-set: chips_thick, leftovers-image-set: chips_thick_leftovers",CHIP,POTS,SLW1,SW05,VTGB,,,
TAFF,2,Takeaway chips e.g. McDonalds french fries,Takeaway chips e.g. McDonalds french fries,Kentang goreng takeaway e.g. McDonalds french fries,外卖薯条（例如McDonald's薯条,டேக்அவே சிப்ஸ் எ.கா McDonalds பிரஞ்சு பொரியல்,AUSNUT,13A11889,Inherited,Inherited,Inherited,Inherited,COND({en: Did you have sauces / condiments / gravy / stock with your Takeaway chips e.g. McDonalds french fries?}),,COND({ms: Adakah anda mengambil sos / kuah bersama Kentang goreng takeaway e.g. McDonalds french fries?}),COND({ta: டேக்அவே சிப்ஸ் எ.கா McDonalds பிரஞ்சு பொரியல் உடன் சேர்த்து சாஸ்கள் / மசாலாப் பொருட்கள் / குழம்பு சாப்பிட்டீர்களா?}),"Method: as-served, conversion: 1.0, serving-image-set: fren, leftovers-image-set: fren_leftovers
Method: standard-portion, conversion: 1.0, units-count: 3, unit0-name: small_portions, unit0-weight: 74, unit0-omit-food-description: false, unit1-name: medium_portions, unit1-weight: 116, unit1-omit-food-description: false, unit2-name: large_portions, unit2-weight: 141, unit2-omit-food-description: false",CHIP,POTS,SLW1,SW05,VTGB,,,
TAGP,2,Garlic prawns,Garlic prawns,Udang bawang putih, 大蒜虾 ,பூண்டு இறால்,AUSNUT,05D20124,Inherited,Inherited,Inherited,Inherited,,,,,"Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: prawns, unit0-weight: 20, unit0-omit-food-description: true",C002,FISH,SLW1,SW03,,,,
TAHI,2,Tahini (Sesame butter),Tahini (Sesame butter),Tahini (mentega bijan)," 芝麻酱, tahini ",தஹினி (எள் வெண்ணெய்),AUSNUT,11A10035,Inherited,Inherited,Inherited,Inherited,,,,,"Method: guide-image, conversion: 1.0, guide-image-id: AUSspoons",BTTR,BUTR,COND,CRPS,NUTS,PCKL,SLW1,SLW2
TARA,1,Taramasalata,Taramasalata,,,,AUSNUT,05D10370,Inherited,Inherited,Inherited,Inherited,,,,,"Method: guide-image, conversion: 1.04, guide-image-id: AUSspoons
Method: guide-image, conversion: 1.0, guide-image-id: AUSdips
Method: standard-portion, conversion: 1.0, units-count: 2, unit0-name: tablespoons, unit0-weight: 20.8, unit0-omit-food-description: false, unit1-name: cups, unit1-weight: 260, unit1-omit-food-description: false
Method: as-served, conversion: 1.09, serving-image-set: butc",COND,DIPS,PCKL,SLW2,,,,
TARR,1,"Tarragon, fresh","Tarragon, fresh",,,,AUSNUT,13A11684,Inherited,Inherited,Inherited,Inherited,,,,,"Method: standard-portion, conversion: 1.0, units-count: 1, unit0-name: teaspoons, unit0-weight: 2.65, unit0-omit-food-description: false",HRBS,HRSP,SLW2,SW06,,,,
TARS,2,Tartare sauce,Tartare sauce,Sos tartar," 塔塔酱, tartare",டார்டாரே சாஸ்,AUSNUT,10A10479,Inherited,Inherited,Inherited,Inherited,,,,,"Method: as-served, conversion: 1.15, serving-image-set: sauce_dollop, leftovers-image-set: sauce_dollop_leftovers
Method: guide-image, conversion: 1.0, guide-image-id: MY_SaucePlate
Method: guide-image, conversion: 1.0, guide-image-id: MY_SaucePacketGuide
Method: standard-portion, conversion: 1.0, units-count: 2, unit0-name: teaspoons, unit0-weight: 4.95, unit0-omit-food-description: false, unit1-name: tablespoons, unit1-weight: 19.8, unit1-omit-food-description: false",COND,MAYN,SLW2,SW06,,,,
TBOG,2,"Beef T bone steak, grilled","Beef T bone steak, grilled","Steak daging T bone, dipanggang", 烤T骨牛排 ,"மாட்டிறைச்சி டி எலும்பு ஸ்டீக், வறுக்கப்பட்ட",AUSNUT,08A11182,FALSE,Inherited,Inherited,Inherited,"COND({en: Did you have sauces / condiments / gravy / stock with your Beef T bone steak, grilled?})",,"COND({ms: Adakah anda mengambil sos / kuah bersama Steak daging T bone, dipanggang?})","COND({ta: மாட்டிறைச்சி டி எலும்பு ஸ்டீக், வறுக்கப்பட்ட உடன் சேர்த்து சாஸ்கள் / மசாலாப் பொருட்கள் / குழம்பு சாப்பிட்டீர்களா?})","Method: standard-portion, conversion: 1.0, units-count: 3, unit0-name: small_steaks, unit0-weight: 147, unit0-omit-food-description: true, unit1-name: medium_steaks, unit1-weight: 197, unit1-omit-food-description: true, unit2-name: large_steaks, unit2-weight: 241, unit2-omit-food-description: true",MEAT,STEK,,,,,,
